Bensan kulutus;;;;;;nykyinen km määrä;säästö 4,5l;;toteutunut kk kulutus 2022;l/100km;bensaostot
litraa 100km;bensan hinta;;;;;28 000;;;January;;131,85
;1,40 €;1,45 €;1,50 €;2,00 €;;(2€ litra hinnalla laskettuna);;;February;;174,98
4,5;6,30 €;6,53 €;6,75 €;9,00 €;;2 520 €;0,00 €;;March;;142,76
5;7,00 €;7,25 €;7,50 €;10,00 €;;2 800 €;280,00 €;;April;;131,41
5,5;7,70 €;7,98 €;8,25 €;11,00 €;;3 080 €;560,00 €;;May;;171,65
6;8,40 €;8,70 €;9,00 €;12,00 €;;3 360 €;840,00 €;;June;;156
6,5;9,10 €;9,43 €;9,75 €;13,00 €;;3 640 €;1120,00 €;;July;;232,54
7;9,80 €;10,15 €;10,50 €;14,00 €;;3 920 €;1400,00 €;;August;4,6;193
7,5;10,50 €;10,88 €;11,25 €;15,00 €;;4 200 €;1680,00 €;;September;4,7;152
;;;;;;;;;October;;144
litraa 1000km;bensan hinta;;;;;;;;November;;142
;1,40 €;1,45 €;1,50 €;2,00 €;;kuukauden ajokilometrit;hinta 5l/100 ja 1,5€;;December;;177
4,5;63,00 €;65,25 €;67,50 €;90,00 €;;500;50,00 €;;;;
5;70,00 €;72,50 €;75,00 €;100,00 €;;1000;100,00 €;;yht.;;1949,19
5,5;77,00 €;79,75 €;82,50 €;110,00 €;;1500;150,00 €;;keskiarvo;;162,4325
6;84,00 €;87,00 €;90,00 €;120,00 €;;2 000 €;200,00 €;;;;
6,5;91,00 €;94,25 €;97,50 €;130,00 €;;2 500 €;250,00 €;;;;
7;98,00 €;101,50 €;105,00 €;140,00 €;;3 000 €;300,00 €;;;;
7,5;105,00 €;108,75 €;112,50 €;150,00 €;;;;;;;
;;;;;;;;;;;
litraa 10000km;bensan hinta;;;;;;;;;;
;1,40 €;1,45 €;1,50 €;2,00 €;;auton arvonalenema;hankintahinta;alenema vuodessa;alenema %;lainasumma;auton arvo - lainasumma
4,5;630,00 €;652,50 €;675,00 €;900,00 €;;vuosi;36 000;;;25 000;11 000
5;700,00 €;725,00 €;750,00 €;1000,00 €;;2021;32 040;3 960;11;21 400;10 640
5,5;770,00 €;797,50 €;825,00 €;1100,00 €;;2022;29 156;2 884;9;17 800;11 356
6;840,00 €;870,00 €;900,00 €;1200,00 €;;2023;26 532;2 624;9;14 200;12 332
6,5;910,00 €;942,50 €;975,00 €;1300,00 €;;2024;24 144;2 388;9;10 600;13 544
7;980,00 €;1015,00 €;1050,00 €;1400,00 €;;2025;21 971;2 173;9;7 000;14 971
7,5;1050,00 €;1087,50 €;1125,00 €;1500,00 €;;;;;;;
