pvm;pvm;;Omat sijoitukset ed. merk.;nordnet;OP osakkeet;TAPIOLA;S - sijoitus;osak-keet yht.;Kaikki Lainat;tulotili - visa ja jatkuva luotto;Tulotili;elatustili;tavoitetili;S - pankki;OP GOLD;Tilit yht;Tilit+ osakkeet yht;VISA;Jakuva luottotili;asuntolaina;asuntolaina (peruskorjaus);AUTOLAINA;ASUNTOLAINA yht;visa + OP GOLD + luottotili;lasten sijoitusrahastoon;;huom.;OsakeOstot;Myynti;Siirrto arvo-osuustilille;Siirto arvo-osuustililtä;Osinko;omaisuus - lainat;LAINALYHENNYS+KORKO KK;kulutus kuukaudessa;vuosikehitys %;vuosikehitys euroissa;kehitys 2017 asti;Tulotilin kk seu-ranta %;Tuohi-kortti;ASUNTOLAINA remontti;Tulotilin kuukausi seuranta;op osakekaupankäynti raha ei vielä tilillä;Isot hankinnat;OSINGOT nordnet;OSINGOT op;RAHASTOT;Autolaina tulotilillä;;;;;
2016;2016;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.09.16;06.09.16;;;;36 288;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7018;;;;;;
17.10.16;17.10.16;;;;37 096;;;44 028;;920;920;477;100;;;1 497;45 525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6932;;;;;;
20.10.16;20.10.16;;-100,00 %;;;;;;;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myynti delta kauppahinta 4640,19;;;;;;
;;;;;37 836;;;44 899;;903;903;477;100;;;1 480;46 379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7063;;;;;;
14.11.16;14.11.16;;-7,00 %;2 944;36 476;;;41 754;;2 181;2 181;77;100;;;2 358;44 112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2334;;;;;;
01.12.16;01.12.16;;1,35 %;3 028;36 916;;;42 319;;7 734;7 734;177;200;;;8 111;50 430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2375;;;;;;
16.12.16;16.12.16;;5,77 %;3 043;39 239;;;44 759;;5 397;5 397;177;300;;;5 874;50 633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2477;;;;;;
23.12.16;23.12.16;;-100,00 %;;;;;;;0;;;;;;0;0;;;;;;;;;;Osto -1690 piano;;;;;;;;;;;;;;;;;1690,00 €;piano;;;;;;;;
2017;2017;;;;;;;;;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017
