;;2016;2017;2018;2019;2020;2021;2022;2023;204;tuotto;;
;;;;;;;;;;;;;
tuotto yht;-8 256,582;-3 000;-27 505,7;3 500,418;9 531,86;2 149,74;7 685,6;-3 547,3;2 928,8;;;;
veroton osinko;11 037,74;0;229;2 667,74;1 759,8;428,2;1 908;1 861;2 184;;;;
30% veron jälkeen;7 726,418;0;160,3;1 867,418;1 231,86;299,74;1 335,6;1 302,7;1 528,8;;;;
Nordnet salkku vuoden viimeisenä päivänä;;3 043;31 132;27 346;25 432;20 185;23 225;24 243;23 200;;;;
Op salkku;;39 239;12 415;10 768;7 519;6 991;8 500;7 593;4 632;;;;
Salkut yht.;;42 282;43 547;38 114;32 951;27 176;31 725;31 836;27 832;;;;
;;;;;;;;;;;;;
osingot:;nordea;;;1 232,84;1 217,8;;1 454;1 245;1 515;;;;
;;;;578;;;;;451;;;;
;fortum;;;;200,2;233,2;260;367;148;;;;
;cargotec;;;147,0;96,8;120;108;;;;;;
;nokia;;;335;20;;;;;;;;
;elisa;;105,0;;;;;;;;;;
;uponor;;23;;;;;;;;;;
;tokmanni;;;153,75;187,5;;;;;;;;
;outokumpu;;;158,75;37,5;;;30;70;;;;
;nokian renkaat;;;62,4;;;;;;;;;
;sampo;;;;;60;68;205;;;;;
;huhtamöki;;;;;;;14;;;;;
;inve;;;;;15;18;;;;;;
;l&t;;101,0;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
nostot - talletukset;;-3 000;-27 666;1 633;8 300;1 850;6 350;-4 850;1 400;;;;
talletukset;39 666;3 000;28 666;0;2 000;0;0;6 000;;;;;
;;3 000;1 000;;2 000;;;1 000;;;;;
;;;1 400;;;;;3 000;;;;;
;;;9 600;;;;;2 000;;;;;
;;;500;;;;;;;;;;
;;;1 000;;;;;;;;;;
;;;10 000;;;;;;;;;;
;;;5 166;;;;;;;;;;
;;;;;;;;;;;;;
nostot;23 683;0;1 000;1 633;10 300;1 850;6 350;1 150;1 400;;;;
;;;1000;1000;4000;100;2000;250;700;;;;
;;;;190;1500;750;600;400;700;;;;
;;;;443;2000;1000;800;500;;;;;
;;;;;800;;1200;;;;;;
;;;;;2000;;1100;;;;;;
;;;;;;;500;;;;;;
;;;;;;;150;;;;;;
