;;osakeet ja tilit;vuosivähenemä;lainan määrä;lainojen lyhennys;osakeiden vuosivähenemä + lainalyhennys
;2016;;;;;summa joka mennyt muuhun kuin lyhennyksiin
;;;;;;
;;;;;;
;;42 319;;0;;
;2017;45 718;;0;;
;;46 124;;0;;
;;43 567;;;;
;;44 531;2 212;;;
;2018;43 302;-2 416;;;
;;41 684;-4 440;;;
;;41 662;-1 905;45 380;;
;;38 214;-6 317;43 353;;
;2019;32 549;-10 753;43 074;;
;;30 711;-10 973;40 058;;
;;30 949;-10 713;38 075;7 305;-3 408
;;32 423;-5 791;38 739;4 614;-1 177
;2020;28 701;-3 848;1 034;42 040;38 192
;;27 973;-2 738;1 559;38 499;35 761
;;28 379;-2 570;1 039;37 036;34 466
;;30 932;-1 491;1 596;37 143;35 652
;2021;30 767;2 066;1 991;-957;1 109
